threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
interval_119_120,0.07792549912336112,50,0.5208333333333334,18,0.75,62,144,0.4305555555555556,33,0.6875,37,0.7708333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
breakpoint_120,0.08159769210539175,51,0.53125,18,0.75,61,144,0.4236111111111111,33,0.6875,37,0.7708333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
interval_120_121,0.0817890416827897,51,0.53125,18,0.75,61,144,0.4236111111111111,33,0.6875,37,0.7708333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
breakpoint_121,0.08198039126018766,52,0.5416666666666666,18,0.75,60,144,0.4166666666666667,33,0.6875,37,0.7708333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
interval_121_122,0.09001401759578319,52,0.5416666666666666,18,0.75,60,144,0.4166666666666667,33,0.6875,37,0.7708333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
breakpoint_122,0.09804764393137871,52,0.5416666666666666,18,0.75,60,144,0.4166666666666667,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
interval_122_123,0.09868367678052788,52,0.5416666666666666,18,0.75,60,144,0.4166666666666667,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
breakpoint_123,0.09931970962967704,53,0.5520833333333334,18,0.75,61,144,0.4236111111111111,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
interval_123_124,0.10329752539604026,53,0.5520833333333334,18,0.75,61,144,0.4236111111111111,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
breakpoint_124,0.10727534116240349,54,0.5625,18,0.75,62,144,0.4305555555555556,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
interval_124_125,0.10969031272256458,54,0.5625,18,0.75,62,144,0.4305555555555556,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
breakpoint_125,0.11210528428272566,55,0.5729166666666666,18,0.75,63,144,0.4375,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
interval_125_126,0.11235334484968731,55,0.5729166666666666,18,0.75,63,144,0.4375,34,0.7083333333333334,37,0.7708333333333334,0.0625,-0.041666666666666664,0.16666666666666666,5,17,2,0.53125,1,1
