threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
interval_20_21,-1.0440727146018896,3,0.03125,3,0.125,9,144,0.0625,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_21,-1.023535533485437,4,0.041666666666666664,4,0.16666666666666666,12,144,0.08333333333333333,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_21_22,-1.0159587078139656,4,0.041666666666666664,4,0.16666666666666666,12,144,0.08333333333333333,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_22,-1.0083818821424941,5,0.052083333333333336,5,0.20833333333333334,15,144,0.10416666666666667,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_22_23,-0.9934732482734061,5,0.052083333333333336,5,0.20833333333333334,15,144,0.10416666666666667,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_23,-0.9785646144043182,6,0.0625,6,0.25,18,144,0.125,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_23_24,-0.9703195765571256,6,0.0625,6,0.25,18,144,0.125,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_24,-0.9620745387099331,7,0.07291666666666667,7,0.2916666666666667,21,144,0.14583333333333334,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_24_25,-0.9578802104963855,7,0.07291666666666667,7,0.2916666666666667,21,144,0.14583333333333334,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_25,-0.9536858822828379,7,0.07291666666666667,7,0.2916666666666667,21,144,0.14583333333333334,0,0.0,19,0.3958333333333333,0.3958333333333333,0.22916666666666666,0.5625,13,11,0,0.6979166666666666,1,0
interval_25_26,-0.9522200713764124,7,0.07291666666666667,7,0.2916666666666667,21,144,0.14583333333333334,0,0.0,19,0.3958333333333333,0.3958333333333333,0.22916666666666666,0.5625,13,11,0,0.6979166666666666,1,0
breakpoint_26,-0.9507542604699869,8,0.08333333333333333,8,0.3333333333333333,24,144,0.16666666666666666,0,0.0,19,0.3958333333333333,0.3958333333333333,0.22916666666666666,0.5625,13,11,0,0.6979166666666666,1,0
interval_26_27,-0.9447196156933679,8,0.08333333333333333,8,0.3333333333333333,24,144,0.16666666666666666,0,0.0,19,0.3958333333333333,0.3958333333333333,0.22916666666666666,0.5625,13,11,0,0.6979166666666666,1,0
breakpoint_27,-0.938684970916749,8,0.08333333333333333,8,0.3333333333333333,24,144,0.16666666666666666,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_27_28,-0.9364306443632737,8,0.08333333333333333,8,0.3333333333333333,24,144,0.16666666666666666,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_28,-0.9341763178097986,9,0.09375,8,0.3333333333333333,25,144,0.1736111111111111,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_28_29,-0.933910331029834,9,0.09375,8,0.3333333333333333,25,144,0.1736111111111111,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_29,-0.9336443442498694,10,0.10416666666666667,9,0.375,28,144,0.19444444444444445,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_29_30,-0.9295990545354702,10,0.10416666666666667,9,0.375,28,144,0.19444444444444445,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_30,-0.9255537648210711,11,0.11458333333333333,9,0.375,29,144,0.2013888888888889,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_30_31,-0.9176570392477682,11,0.11458333333333333,9,0.375,29,144,0.2013888888888889,1,0.020833333333333332,19,0.3958333333333333,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_31,-0.9097603136744653,11,0.11458333333333333,9,0.375,29,144,0.2013888888888889,2,0.041666666666666664,19,0.3958333333333333,0.3541666666666667,0.1875,0.5208333333333334,11,13,0,0.6770833333333334,1,0
interval_31_32,-0.9093275931080436,11,0.11458333333333333,9,0.375,29,144,0.2013888888888889,2,0.041666666666666664,19,0.3958333333333333,0.3541666666666667,0.1875,0.5208333333333334,11,13,0,0.6770833333333334,1,0
breakpoint_32,-0.9088948725416218,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,2,0.041666666666666664,19,0.3958333333333333,0.3541666666666667,0.1875,0.5208333333333334,11,13,0,0.6770833333333334,1,0
interval_32_33,-0.9085729346533473,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,2,0.041666666666666664,19,0.3958333333333333,0.3541666666666667,0.1875,0.5208333333333334,11,13,0,0.6770833333333334,1,0
breakpoint_33,-0.9082509967650728,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,3,0.0625,19,0.3958333333333333,0.3333333333333333,0.1875,0.5,11,13,0,0.6666666666666666,1,0
interval_33_34,-0.9036843784051529,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,3,0.0625,19,0.3958333333333333,0.3333333333333333,0.1875,0.5,11,13,0,0.6666666666666666,1,0
breakpoint_34,-0.8991177600452329,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,4,0.08333333333333333,19,0.3958333333333333,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
interval_34_35,-0.8953046996641664,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,4,0.08333333333333333,19,0.3958333333333333,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
breakpoint_35,-0.8914916392830998,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,4,0.08333333333333333,19,0.3958333333333333,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
interval_35_36,-0.8907392724997726,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,4,0.08333333333333333,19,0.3958333333333333,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
breakpoint_36,-0.8899869057164453,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,4,0.08333333333333333,20,0.4166666666666667,0.3333333333333333,0.1875,0.5,11,13,0,0.6666666666666666,1,0
interval_36_37,-0.8858784135403346,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,4,0.08333333333333333,20,0.4166666666666667,0.3333333333333333,0.1875,0.5,11,13,0,0.6666666666666666,1,0
breakpoint_37,-0.8817699213642237,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,5,0.10416666666666667,20,0.4166666666666667,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
interval_37_38,-0.8811624020548414,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,5,0.10416666666666667,20,0.4166666666666667,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
breakpoint_38,-0.8805548827454591,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,5,0.10416666666666667,20,0.4166666666666667,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
interval_38_39,-0.8792979139025707,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,5,0.10416666666666667,20,0.4166666666666667,0.3125,0.16666666666666666,0.4791666666666667,10,14,0,0.65625,1,0
breakpoint_39,-0.8780409450596824,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,5,0.10416666666666667,21,0.4375,0.3333333333333333,0.1875,0.5,11,13,0,0.6666666666666667,1,0
interval_39_40,-0.875338130510483,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,5,0.10416666666666667,21,0.4375,0.3333333333333333,0.1875,0.5,11,13,0,0.6666666666666667,1,0
breakpoint_40,-0.8726353159612836,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
interval_40_41,-0.8669537259898235,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
breakpoint_41,-0.8612721360183634,15,0.15625,12,0.5,39,144,0.2708333333333333,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
interval_41_42,-0.8600847940690313,15,0.15625,12,0.5,39,144,0.2708333333333333,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
breakpoint_42,-0.858897452119699,16,0.16666666666666666,12,0.5,40,144,0.2777777777777778,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
interval_42_43,-0.8586427179051166,16,0.16666666666666666,12,0.5,40,144,0.2777777777777778,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
breakpoint_43,-0.8583879836905342,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
interval_43_44,-0.855684695848432,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,6,0.125,21,0.4375,0.3125,0.16666666666666666,0.4791666666666667,11,13,0,0.65625,1,0
breakpoint_44,-0.8529814080063298,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,7,0.14583333333333334,21,0.4375,0.2916666666666667,0.14583333333333334,0.4583333333333333,10,14,0,0.6458333333333333,1,0
interval_44_45,-0.8506353482742164,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,7,0.14583333333333334,21,0.4375,0.2916666666666667,0.14583333333333334,0.4583333333333333,10,14,0,0.6458333333333333,1,0
breakpoint_45,-0.848289288542103,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,8,0.16666666666666666,21,0.4375,0.2708333333333333,0.14583333333333334,0.4166666666666667,10,14,0,0.6354166666666667,1,0
interval_45_46,-0.8471938999180777,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,8,0.16666666666666666,21,0.4375,0.2708333333333333,0.14583333333333334,0.4166666666666667,10,14,0,0.6354166666666667,1,0
breakpoint_46,-0.8460985112940523,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,9,0.1875,21,0.4375,0.25,0.10416666666666667,0.3958333333333333,10,13,1,0.625,1,0
interval_46_47,-0.8449205879386257,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,9,0.1875,21,0.4375,0.25,0.10416666666666667,0.3958333333333333,10,13,1,0.625,1,0
breakpoint_47,-0.843742664583199,18,0.1875,13,0.5416666666666666,44,144,0.3055555555555556,9,0.1875,21,0.4375,0.25,0.10416666666666667,0.3958333333333333,10,13,1,0.625,1,0
interval_47_48,-0.840301073811554,18,0.1875,13,0.5416666666666666,44,144,0.3055555555555556,9,0.1875,21,0.4375,0.25,0.10416666666666667,0.3958333333333333,10,13,1,0.625,1,0
