threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
breakpoint_13,-0.8805548827454591,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,3,0.125,11,0.4583333333333333,0,0.0,8,0.3333333333333333
interval_13_14,-0.8709135093819113,14,0.14583333333333334,11,0.4583333333333333,36,144,0.25,3,0.125,11,0.4583333333333333,0,0.0,8,0.3333333333333333
breakpoint_14,-0.8612721360183634,15,0.15625,12,0.5,39,144,0.2708333333333333,4,0.16666666666666666,11,0.4583333333333333,0,0.0,9,0.375
interval_14_15,-0.8600847940690313,15,0.15625,12,0.5,39,144,0.2708333333333333,4,0.16666666666666666,11,0.4583333333333333,0,0.0,9,0.375
breakpoint_15,-0.858897452119699,16,0.16666666666666666,12,0.5,40,144,0.2777777777777778,4,0.16666666666666666,12,0.5,0,0.0,8,0.3333333333333333
interval_15_16,-0.8586427179051166,16,0.16666666666666666,12,0.5,40,144,0.2777777777777778,4,0.16666666666666666,12,0.5,0,0.0,8,0.3333333333333333
breakpoint_16,-0.8583879836905342,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,4,0.16666666666666666,13,0.5416666666666666,0,0.0,9,0.375
interval_16_17,-0.8510653241368666,17,0.17708333333333334,13,0.5416666666666666,43,144,0.2986111111111111,4,0.16666666666666666,13,0.5416666666666666,0,0.0,9,0.375
breakpoint_17,-0.843742664583199,18,0.1875,13,0.5416666666666666,44,144,0.3055555555555556,5,0.20833333333333334,13,0.5416666666666666,0,0.0,8,0.3333333333333333
interval_17_18,-0.840301073811554,18,0.1875,13,0.5416666666666666,44,144,0.3055555555555556,5,0.20833333333333334,13,0.5416666666666666,0,0.0,8,0.3333333333333333
breakpoint_18,-0.836859483039909,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,5,0.20833333333333334,14,0.5833333333333334,0,0.0,9,0.375
interval_18_19,-0.8329398622223392,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,5,0.20833333333333334,14,0.5833333333333334,0,0.0,9,0.375
breakpoint_19,-0.8290202414047693,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,5,0.20833333333333334,15,0.625,0,0.0,10,0.4166666666666667
interval_19_20,-0.8236979052998079,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,5,0.20833333333333334,15,0.625,0,0.0,10,0.4166666666666667
breakpoint_20,-0.8183755691948467,21,0.21875,16,0.6666666666666666,53,144,0.3680555555555556,5,0.20833333333333334,16,0.6666666666666666,0,0.0,11,0.4583333333333333
interval_20_21,-0.8151919517866508,21,0.21875,16,0.6666666666666666,53,144,0.3680555555555556,5,0.20833333333333334,16,0.6666666666666666,0,0.0,11,0.4583333333333333
breakpoint_21,-0.812008334378455,22,0.22916666666666666,17,0.7083333333333334,56,144,0.3888888888888889,5,0.20833333333333334,17,0.7083333333333334,0,0.0,12,0.5
interval_21_22,-0.801839523743331,22,0.22916666666666666,17,0.7083333333333334,56,144,0.3888888888888889,5,0.20833333333333334,17,0.7083333333333334,0,0.0,12,0.5
breakpoint_22,-0.791670713108207,23,0.23958333333333334,17,0.7083333333333334,57,144,0.3958333333333333,6,0.25,17,0.7083333333333334,0,0.0,11,0.4583333333333333
interval_22_23,-0.7789001569211296,23,0.23958333333333334,17,0.7083333333333334,57,144,0.3958333333333333,6,0.25,17,0.7083333333333334,0,0.0,11,0.4583333333333333
breakpoint_23,-0.7661296007340521,24,0.25,18,0.75,60,144,0.4166666666666667,6,0.25,18,0.75,0,0.0,12,0.5
interval_23_24,-0.7591625529017246,24,0.25,18,0.75,60,144,0.4166666666666667,6,0.25,18,0.75,0,0.0,12,0.5
breakpoint_24,-0.7521955050693971,25,0.2604166666666667,19,0.7916666666666666,63,144,0.4375,6,0.25,19,0.7916666666666666,0,0.0,13,0.5416666666666666
interval_24_25,-0.7426295898684974,25,0.2604166666666667,19,0.7916666666666666,63,144,0.4375,6,0.25,19,0.7916666666666666,0,0.0,13,0.5416666666666666
breakpoint_25,-0.7330636746675975,26,0.2708333333333333,20,0.8333333333333334,66,144,0.4583333333333333,6,0.25,20,0.8333333333333334,0,0.0,14,0.5833333333333334
interval_25_26,-0.7307492320542973,26,0.2708333333333333,20,0.8333333333333334,66,144,0.4583333333333333,6,0.25,20,0.8333333333333334,0,0.0,14,0.5833333333333334
breakpoint_26,-0.7284347894409972,27,0.28125,21,0.875,69,144,0.4791666666666667,6,0.25,21,0.875,0,0.0,15,0.625
interval_26_27,-0.7180162604072609,27,0.28125,21,0.875,69,144,0.4791666666666667,6,0.25,21,0.875,0,0.0,15,0.625
breakpoint_27,-0.7075977313735246,28,0.2916666666666667,22,0.9166666666666666,72,144,0.5,6,0.25,22,0.9166666666666666,0,0.0,16,0.6666666666666666
interval_27_28,-0.6966249178247554,28,0.2916666666666667,22,0.9166666666666666,72,144,0.5,6,0.25,22,0.9166666666666666,0,0.0,16,0.6666666666666666
breakpoint_28,-0.6856521042759863,29,0.3020833333333333,23,0.9583333333333334,75,144,0.5208333333333334,6,0.25,23,0.9583333333333334,0,0.0,17,0.7083333333333334
interval_28_29,-0.6704799661700038,29,0.3020833333333333,23,0.9583333333333334,75,144,0.5208333333333334,6,0.25,23,0.9583333333333334,0,0.0,17,0.7083333333333334
breakpoint_29,-0.6553078280640213,30,0.3125,24,1.0,78,144,0.5416666666666666,6,0.25,24,1.0,0,0.0,18,0.75
interval_29_30,-0.4487084940778573,30,0.3125,24,1.0,78,144,0.5416666666666666,6,0.25,24,1.0,0,0.0,18,0.75
breakpoint_30,-0.24210916009169325,31,0.3229166666666667,24,1.0,77,144,0.5347222222222222,5,0.20833333333333334,24,1.0,1,0.041666666666666664,18,0.75
interval_30_31,-0.23537416507393816,31,0.3229166666666667,24,1.0,77,144,0.5347222222222222,5,0.20833333333333334,24,1.0,1,0.041666666666666664,18,0.75
