threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
interval_31_32,-0.17100414879041956,32,0.3333333333333333,24,1.0,76,144,0.5277777777777778,6,0.25,22,0.9166666666666666,2,0.08333333333333333,18,0.75
breakpoint_32,-0.16414148002226092,33,0.34375,24,1.0,75,144,0.5208333333333334,6,0.25,21,0.875,3,0.125,18,0.75
interval_32_33,-0.14170262598478078,33,0.34375,24,1.0,75,144,0.5208333333333334,6,0.25,21,0.875,3,0.125,18,0.75
breakpoint_33,-0.11926377194730062,34,0.3541666666666667,24,1.0,74,144,0.5138888888888888,6,0.25,20,0.8333333333333334,4,0.16666666666666666,18,0.75
interval_33_34,-0.11004555106037556,34,0.3541666666666667,24,1.0,74,144,0.5138888888888888,6,0.25,20,0.8333333333333334,4,0.16666666666666666,18,0.75
breakpoint_34,-0.1008273301734505,35,0.3645833333333333,23,0.9583333333333334,71,144,0.4930555555555556,5,0.20833333333333334,20,0.8333333333333334,3,0.125,18,0.75
interval_34_35,-0.09578266304027655,35,0.3645833333333333,23,0.9583333333333334,71,144,0.4930555555555556,5,0.20833333333333334,20,0.8333333333333334,3,0.125,18,0.75
breakpoint_35,-0.09073799590710259,36,0.375,22,0.9166666666666666,68,144,0.4722222222222222,4,0.16666666666666666,20,0.8333333333333334,2,0.08333333333333333,18,0.75
interval_35_36,-0.08623494945398068,36,0.375,22,0.9166666666666666,68,144,0.4722222222222222,4,0.16666666666666666,20,0.8333333333333334,2,0.08333333333333333,18,0.75
breakpoint_36,-0.08173190300085877,37,0.3854166666666667,22,0.9166666666666666,67,144,0.4652777777777778,4,0.16666666666666666,19,0.7916666666666666,3,0.125,18,0.75
interval_36_37,-0.07926846279185816,37,0.3854166666666667,22,0.9166666666666666,67,144,0.4652777777777778,4,0.16666666666666666,19,0.7916666666666666,3,0.125,18,0.75
breakpoint_37,-0.07680502258285755,38,0.3958333333333333,22,0.9166666666666666,66,144,0.4583333333333333,4,0.16666666666666666,18,0.75,4,0.16666666666666666,18,0.75
interval_37_38,-0.056816580585999546,38,0.3958333333333333,22,0.9166666666666666,66,144,0.4583333333333333,4,0.16666666666666666,18,0.75,4,0.16666666666666666,18,0.75
breakpoint_38,-0.036828138589141544,39,0.40625,21,0.875,63,144,0.4375,3,0.125,18,0.75,3,0.125,18,0.75
interval_38_39,-0.03173484339103934,39,0.40625,21,0.875,63,144,0.4375,3,0.125,18,0.75,3,0.125,18,0.75
