threshold_label,tau,omitted_family,n_bases,flag_rate,aivr_class,aivr_pairwise
interval_51_52,-0.0025846146885993744,F2_SLACK,18,0.3888888888888889,1.0,0.5925925925925926
interval_51_52,-0.0025846146885993744,F3_BANKING,18,0.625,0.6666666666666666,0.4166666666666667
interval_51_52,-0.0025846146885993744,F4_EMAIL,18,0.5833333333333334,0.6666666666666666,0.3888888888888889
breakpoint_52,-0.002326198039754811,F1_CALENDAR,18,0.5833333333333334,0.6666666666666666,0.3888888888888889
breakpoint_52,-0.002326198039754811,F2_SLACK,18,0.4027777777777778,1.0,0.6018518518518519
breakpoint_52,-0.002326198039754811,F3_BANKING,18,0.6388888888888888,0.6666666666666666,0.42592592592592593
breakpoint_52,-0.002326198039754811,F4_EMAIL,18,0.5833333333333334,0.6666666666666666,0.3888888888888889
interval_52_53,0.005805543849896938,F1_CALENDAR,18,0.5833333333333334,0.6666666666666666,0.3888888888888889
interval_52_53,0.005805543849896938,F2_SLACK,18,0.4027777777777778,1.0,0.6018518518518519
interval_52_53,0.005805543849896938,F3_BANKING,18,0.6388888888888888,0.6666666666666666,0.42592592592592593
interval_52_53,0.005805543849896938,F4_EMAIL,18,0.5833333333333334,0.6666666666666666,0.3888888888888889
breakpoint_53,0.013937285739548687,F1_CALENDAR,18,0.5972222222222222,0.6666666666666666,0.39814814814814814
breakpoint_53,0.013937285739548687,F2_SLACK,18,0.4166666666666667,1.0,0.6111111111111112
breakpoint_53,0.013937285739548687,F3_BANKING,18,0.6388888888888888,0.6666666666666666,0.42592592592592593
breakpoint_53,0.013937285739548687,F4_EMAIL,18,0.5972222222222222,0.6666666666666666,0.39814814814814814
interval_53_54,0.022178117314166145,F1_CALENDAR,18,0.5972222222222222,0.6666666666666666,0.39814814814814814
interval_53_54,0.022178117314166145,F2_SLACK,18,0.4166666666666667,1.0,0.6111111111111112
interval_53_54,0.022178117314166145,F3_BANKING,18,0.6388888888888888,0.6666666666666666,0.42592592592592593
interval_53_54,0.022178117314166145,F4_EMAIL,18,0.5972222222222222,0.6666666666666666,0.39814814814814814
breakpoint_54,0.030418948888783603,F1_CALENDAR,18,0.6111111111111112,0.6666666666666666,0.4074074074074074
breakpoint_54,0.030418948888783603,F2_SLACK,18,0.4305555555555556,1.0,0.6203703703703703
breakpoint_54,0.030418948888783603,F3_BANKING,18,0.6527777777777778,0.6666666666666666,0.4351851851851852
breakpoint_54,0.030418948888783603,F4_EMAIL,18,0.5972222222222222,0.6666666666666666,0.39814814814814814
interval_54_55,0.035301559458688465,F1_CALENDAR,18,0.6111111111111112,0.6666666666666666,0.4074074074074074
interval_54_55,0.035301559458688465,F2_SLACK,18,0.4305555555555556,1.0,0.6203703703703703
interval_54_55,0.035301559458688465,F3_BANKING,18,0.6527777777777778,0.6666666666666666,0.4351851851851852
interval_54_55,0.035301559458688465,F4_EMAIL,18,0.5972222222222222,0.6666666666666666,0.39814814814814814
breakpoint_55,0.04018417002859333,F1_CALENDAR,18,0.625,0.6666666666666666,0.4166666666666667
breakpoint_55,0.04018417002859333,F2_SLACK,18,0.4444444444444444,1.0,0.6296296296296297
breakpoint_55,0.04018417002859333,F3_BANKING,18,0.6527777777777778,0.6666666666666666,0.4351851851851852
breakpoint_55,0.04018417002859333,F4_EMAIL,18,0.6111111111111112,0.6666666666666666,0.4074074074074074
interval_55_56,0.06917773453117636,F1_CALENDAR,18,0.625,0.6666666666666666,0.4166666666666667
interval_55_56,0.06917773453117636,F2_SLACK,18,0.4444444444444444,1.0,0.6296296296296297
interval_55_56,0.06917773453117636,F3_BANKING,18,0.6527777777777778,0.6666666666666666,0.4351851851851852
interval_55_56,0.06917773453117636,F4_EMAIL,18,0.6111111111111112,0.6666666666666666,0.4074074074074074
breakpoint_56,0.09817129903375939,F1_CALENDAR,18,0.625,0.6666666666666666,0.4166666666666667
breakpoint_56,0.09817129903375939,F2_SLACK,18,0.4583333333333333,1.0,0.6388888888888888
breakpoint_56,0.09817129903375939,F3_BANKING,18,0.6666666666666666,0.6666666666666666,0.4444444444444444
breakpoint_56,0.09817129903375939,F4_EMAIL,18,0.625,0.6666666666666666,0.4166666666666667
interval_56_57,0.11690411515563262,F1_CALENDAR,18,0.625,0.6666666666666666,0.4166666666666667
interval_56_57,0.11690411515563262,F2_SLACK,18,0.4583333333333333,1.0,0.6388888888888888
interval_56_57,0.11690411515563262,F3_BANKING,18,0.6666666666666666,0.6666666666666666,0.4444444444444444
interval_56_57,0.11690411515563262,F4_EMAIL,18,0.625,0.6666666666666666,0.4166666666666667
breakpoint_57,0.13563693127750587,F1_CALENDAR,18,0.6388888888888888,0.6666666666666666,0.42592592592592593
