threshold_label,tau,omitted_family,n_bases,flag_rate,aivr_class,aivr_pairwise
breakpoint_18,-0.9272969853536305,F3_BANKING,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
breakpoint_18,-0.9272969853536305,F4_EMAIL,18,0.2222222222222222,0.5555555555555556,0.3333333333333333
interval_18_19,-0.9015994981314619,F1_CALENDAR,18,0.20833333333333334,0.5,0.3055555555555556
interval_18_19,-0.9015994981314619,F2_SLACK,18,0.09722222222222222,0.3888888888888889,0.19444444444444445
interval_18_19,-0.9015994981314619,F3_BANKING,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
interval_18_19,-0.9015994981314619,F4_EMAIL,18,0.2222222222222222,0.5555555555555556,0.3333333333333333
breakpoint_19,-0.8759020109092932,F1_CALENDAR,18,0.2222222222222222,0.5555555555555556,0.3333333333333333
breakpoint_19,-0.8759020109092932,F2_SLACK,18,0.1111111111111111,0.4444444444444444,0.2222222222222222
breakpoint_19,-0.8759020109092932,F3_BANKING,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
breakpoint_19,-0.8759020109092932,F4_EMAIL,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
interval_19_20,-0.8746749101034346,F1_CALENDAR,18,0.2222222222222222,0.5555555555555556,0.3333333333333333
interval_19_20,-0.8746749101034346,F2_SLACK,18,0.1111111111111111,0.4444444444444444,0.2222222222222222
interval_19_20,-0.8746749101034346,F3_BANKING,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
interval_19_20,-0.8746749101034346,F4_EMAIL,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
breakpoint_20,-0.8734478092975759,F1_CALENDAR,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
breakpoint_20,-0.8734478092975759,F2_SLACK,18,0.125,0.5,0.25
breakpoint_20,-0.8734478092975759,F3_BANKING,18,0.2777777777777778,0.7777777777777778,0.4444444444444444
breakpoint_20,-0.8734478092975759,F4_EMAIL,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
interval_20_21,-0.8692054986328506,F1_CALENDAR,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
interval_20_21,-0.8692054986328506,F2_SLACK,18,0.125,0.5,0.25
interval_20_21,-0.8692054986328506,F3_BANKING,18,0.2777777777777778,0.7777777777777778,0.4444444444444444
interval_20_21,-0.8692054986328506,F4_EMAIL,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
breakpoint_21,-0.8649631879681251,F1_CALENDAR,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
breakpoint_21,-0.8649631879681251,F2_SLACK,18,0.1388888888888889,0.5555555555555556,0.2777777777777778
breakpoint_21,-0.8649631879681251,F3_BANKING,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
breakpoint_21,-0.8649631879681251,F4_EMAIL,18,0.25,0.6666666666666666,0.3888888888888889
interval_21_22,-0.8591320334901826,F1_CALENDAR,18,0.2361111111111111,0.6111111111111112,0.3611111111111111
interval_21_22,-0.8591320334901826,F2_SLACK,18,0.1388888888888889,0.5555555555555556,0.2777777777777778
interval_21_22,-0.8591320334901826,F3_BANKING,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
interval_21_22,-0.8591320334901826,F4_EMAIL,18,0.25,0.6666666666666666,0.3888888888888889
breakpoint_22,-0.8533008790122403,F1_CALENDAR,18,0.25,0.6666666666666666,0.3888888888888889
breakpoint_22,-0.8533008790122403,F2_SLACK,18,0.1527777777777778,0.6111111111111112,0.3055555555555556
breakpoint_22,-0.8533008790122403,F3_BANKING,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
breakpoint_22,-0.8533008790122403,F4_EMAIL,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
interval_22_23,-0.8478582529640917,F1_CALENDAR,18,0.25,0.6666666666666666,0.3888888888888889
interval_22_23,-0.8478582529640917,F2_SLACK,18,0.1527777777777778,0.6111111111111112,0.3055555555555556
interval_22_23,-0.8478582529640917,F3_BANKING,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
interval_22_23,-0.8478582529640917,F4_EMAIL,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
breakpoint_23,-0.8424156269159432,F1_CALENDAR,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
breakpoint_23,-0.8424156269159432,F2_SLACK,18,0.16666666666666666,0.6666666666666666,0.3333333333333333
breakpoint_23,-0.8424156269159432,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
breakpoint_23,-0.8424156269159432,F4_EMAIL,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
interval_23_24,-0.8398148933833406,F1_CALENDAR,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
